Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Test_Used,F_Statistic,P_Value,Effect_Size,Decision,Pooling_Recommendation
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Status_Score,Kruskal-Wallis,32.282146240312635,4.563726056964389e-07,0.2713,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Warmth_Score,Kruskal-Wallis,28.56259370314845,2.767114443627697e-06,0.24,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Hireability_Score,Kruskal-Wallis,75.57397756145934,2.729494091563528e-16,0.6351,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Competence_Score,Kruskal-Wallis,92.73830723532207,5.653424714522071e-20,0.7793,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Fit_Score,Kruskal-Wallis,84.59820137382493,3.1651926696917493e-18,0.7109,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Performance_Score,Kruskal-Wallis,91.96996958936127,8.267712390299025e-20,0.7729,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,Kruskal-Wallis,87.72433982674283,6.749481816681207e-19,0.7372,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Status_Score,Kruskal-Wallis,96.4266813934592,9.11353110210686e-21,0.8103,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Warmth_Score,Kruskal-Wallis,29.622383486534385,1.656963808887536e-06,0.2489,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Hireability_Score,Kruskal-Wallis,49.481943578877384,1.0299613805630378e-10,0.4158,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Competence_Score,Kruskal-Wallis,7.3754983689742195,0.06084522076628315,0.062,Fail to Reject H0 (Models Equivalent),Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Fit_Score,Kruskal-Wallis,29.30404070355149,1.933032166667363e-06,0.2463,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Performance_Score,Kruskal-Wallis,25.512856907260147,1.2061237409259329e-05,0.2144,Reject H0 (Models Differ),Do Not Pool
