Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,Formula,N,Df_Model,Df_Residual,R_Squared,Adjusted_R_Squared,F_Statistic,F_P_Value,AIC,BIC,Log_Likelihood,Term,Coefficient,Std_Error,T_statistic,P_Value,CI_Lower,CI_Upper
Step_2a,mistral,mistral-medium-latest,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24710736362689067,0.24671495954261013,629.7267880885972,0.0,11554.696979432982,11581.331750447742,-5773.348489716491,Intercept,4.60069444444442,0.017379343372156207,264.7219947224982,0.0,4.566624393176627,4.634764495712212
Step_2a,mistral,mistral-medium-latest,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24710736362689067,0.24671495954261013,629.7267880885972,0.0,11554.696979432982,11581.331750447742,-5773.348489716491,C(CV_framing)[T.Communal],-0.4513888888888955,0.02457810310204262,-18.365489273717863,2.9700391783357986e-73,-0.49957121746255545,-0.40320656031523555
Step_2a,mistral,mistral-medium-latest,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24710736362689067,0.24671495954261013,629.7267880885972,0.0,11554.696979432982,11581.331750447742,-5773.348489716491,C(Seniority_level)[T.Senior-Level],-0.4833333333333303,0.02457810310204244,-19.665200822319168,2.2216275353973076e-83,-0.5315156619069898,-0.4351510047596707
Step_2a,mistral,mistral-medium-latest,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24710736362689067,0.24671495954261013,629.7267880885972,0.0,11554.696979432982,11581.331750447742,-5773.348489716491,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.12916666666666232,0.03475868674431328,-3.7160974353495884,0.00020424266162134575,-0.1973067692022496,-0.06102656413107503
Step_2a,mistral,mistral-medium-latest,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2245659455877408,0.22416179302289774,555.6464689885908,3.6964845e-317,8538.61451536755,8565.24928638231,-4265.307257683775,Intercept,3.7062499999999905,0.013376101233003205,277.0799903080475,0.0,3.6800278093790415,3.7324721906209395
Step_2a,mistral,mistral-medium-latest,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2245659455877408,0.22416179302289774,555.6464689885908,3.6964845e-317,8538.61451536755,8565.24928638231,-4265.307257683775,C(CV_framing)[T.Communal],-0.413194444444447,0.01891666377538888,-21.842881458940173,1.1115627901696935e-101,-0.45027822205572604,-0.3761106668331679
Step_2a,mistral,mistral-medium-latest,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2245659455877408,0.22416179302289774,555.6464689885908,3.6964845e-317,8538.61451536755,8565.24928638231,-4265.307257683775,C(Seniority_level)[T.Senior-Level],-0.2722222222222242,0.018916663775388743,-14.39060425530188,3.720372930564859e-46,-0.30930599983350304,-0.23513844461094538
Step_2a,mistral,mistral-medium-latest,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2245659455877408,0.22416179302289774,555.6464689885908,3.6964845e-317,8538.61451536755,8565.24928638231,-4265.307257683775,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.07222222222221966,0.026752202466007072,-2.699673879711006,0.00696103354645232,-0.12466660346411884,-0.019777840980320482
Step_2a,mistral,mistral-medium-latest,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.20215231196030992,0.20173647751553603,486.1365250062028,1.4485303119704635e-281,15195.18670875625,15221.82147977101,-7593.593354378125,Intercept,5.094444444444405,0.023838384411177974,213.70762198362684,0.0,5.04771224279337,5.14117664609544
Step_2a,mistral,mistral-medium-latest,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.20215231196030992,0.20173647751553603,486.1365250062028,1.4485303119704635e-281,15195.18670875625,15221.82147977101,-7593.593354378125,C(CV_framing)[T.Communal],-0.4986111111111151,0.033712566539351736,-14.790066799841545,1.3131762697575224e-48,-0.5647004244855643,-0.4325217977366658
Step_2a,mistral,mistral-medium-latest,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.20215231196030992,0.20173647751553603,486.1365250062028,1.4485303119704635e-281,15195.18670875625,15221.82147977101,-7593.593354378125,C(Seniority_level)[T.Senior-Level],-0.4756944444444436,0.03371256653935149,-14.110300498456034,1.7963980357446279e-44,-0.5417837578188924,-0.4096051310699948
Step_2a,mistral,mistral-medium-latest,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.20215231196030992,0.20173647751553603,486.1365250062028,1.4485303119704635e-281,15195.18670875625,15221.82147977101,-7593.593354378125,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2958333333333294,0.047676768822357135,-6.20497866446444,5.851826182009388e-10,-0.3892977366354021,-0.20236893003125667
Step_2a,mistral,mistral-medium-latest,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19656256174052555,0.19614381394435143,469.40560293427137,7.606035137681265e-273,13585.51676343643,13612.15153445119,-6788.758381718215,Intercept,4.9444444444444065,0.020729727435481394,238.5195106801743,0.0,4.903806379969212,4.985082508919601
Step_2a,mistral,mistral-medium-latest,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19656256174052555,0.19614381394435143,469.40560293427137,7.606035137681265e-273,13585.51676343643,13612.15153445119,-6788.758381718215,C(CV_framing)[T.Communal],-0.47916666666667096,0.029316261683555844,-16.34473971609574,9.811814760493408e-59,-0.5366375685960836,-0.42169576473725834
Step_2a,mistral,mistral-medium-latest,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19656256174052555,0.19614381394435143,469.40560293427137,7.606035137681265e-273,13585.51676343643,13612.15153445119,-6788.758381718215,C(Seniority_level)[T.Senior-Level],-0.3722222222222209,0.029316261683555632,-12.696783315691697,1.89179882323043e-36,-0.42969312415163313,-0.31475132029280867
Step_2a,mistral,mistral-medium-latest,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19656256174052555,0.19614381394435143,469.40560293427137,7.606035137681265e-273,13585.51676343643,13612.15153445119,-6788.758381718215,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.23124999999999665,0.04145945487096382,-5.577738557338169,2.547659320853035e-08,-0.31252612895038695,-0.14997387104960636
Step_2a,mistral,mistral-medium-latest,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1544058987841942,0.1539651791344987,350.34947702211224,5.60890821496144e-209,12140.110010553739,12166.7447815685,-6066.055005276869,Intercept,3.6520833333333256,0.01828533626898967,199.72743621493794,0.0,3.6162371951454237,3.6879294715212274
Step_2a,mistral,mistral-medium-latest,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1544058987841942,0.1539651791344987,350.34947702211224,5.60890821496144e-209,12140.110010553739,12166.7447815685,-6066.055005276869,C(CV_framing)[T.Communal],-0.4357083333333346,0.025859370544158208,-16.849146911341343,3.2328017391360786e-62,-0.48640242811736634,-0.38501423854930283
Step_2a,mistral,mistral-medium-latest,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1544058987841942,0.1539651791344987,350.34947702211224,5.60890821496144e-209,12140.110010553739,12166.7447815685,-6066.055005276869,C(Seniority_level)[T.Senior-Level],-0.2622638888888914,0.025859370544158017,-10.141928568641838,5.718172882814823e-24,-0.3129579836729228,-0.21156979410486002
Step_2a,mistral,mistral-medium-latest,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1544058987841942,0.1539651791344987,350.34947702211224,5.60890821496144e-209,12140.110010553739,12166.7447815685,-6066.055005276869,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.11799305555555233,0.03657067253798025,-3.2264393123482034,0.0012604224781036127,-0.189685331931358,-0.04630077917974666
Step_2a,mistral,mistral-medium-latest,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1389420337824263,0.13849325443936644,309.5998867396279,2.3831763926209145e-186,11810.694255611525,11837.329026626285,-5901.347127805762,Intercept,4.026388888888892,0.017769869961000467,226.58516341006478,0.0,3.991553258587505,4.061224519190279
Step_2a,mistral,mistral-medium-latest,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1389420337824263,0.13849325443936644,309.5998867396279,2.3831763926209145e-186,11810.694255611525,11837.329026626285,-5901.347127805762,C(CV_framing)[T.Communal],-0.48402777777777706,0.025130391100453484,-19.260654394234344,3.659467030915737e-80,-0.5332927986038146,-0.43476275695173944
Step_2a,mistral,mistral-medium-latest,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1389420337824263,0.13849325443936644,309.5998867396279,2.3831763926209145e-186,11810.694255611525,11837.329026626285,-5901.347127805762,C(Seniority_level)[T.Senior-Level],-0.17013888888888984,0.0251303911004533,-6.770244371000691,1.4133502621948173e-11,-0.21940390971492707,-0.12087386806285261
Step_2a,mistral,mistral-medium-latest,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.1389420337824263,0.13849325443936644,309.5998867396279,2.3831763926209145e-186,11810.694255611525,11837.329026626285,-5901.347127805762,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.04374999999999754,0.03553973992200182,-1.2310163241490955,0.2183670562708407,-0.11342126060277363,0.02592126060277855
Step_2a,mistral,mistral-medium-latest,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.11715224531728363,0.11669210923944351,254.60347701310027,3.770339418945188e-155,6084.751560550307,6111.386331565067,-3038.3757802751534,Intercept,2.9145833333333213,0.010809881694594509,269.6221305355045,0.0,2.893391898441503,2.93577476822514
Step_2a,mistral,mistral-medium-latest,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.11715224531728363,0.11669210923944351,254.60347701310027,3.770339418945188e-155,6084.751560550307,6111.386331565067,-3038.3757802751534,C(CV_framing)[T.Communal],0.27916666666666434,0.015287481300144427,18.261128905781682,1.8172038508074123e-72,0.24919745203650745,0.30913588129682124
Step_2a,mistral,mistral-medium-latest,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.11715224531728363,0.11669210923944351,254.60347701310027,3.770339418945188e-155,6084.751560550307,6111.386331565067,-3038.3757802751534,C(Seniority_level)[T.Senior-Level],0.021527777777770596,0.015287481300144316,1.4081965076593337,0.15912689754796996,-0.008441436852386096,0.05149699240792729
Step_2a,mistral,mistral-medium-latest,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.11715224531728363,0.11669210923944351,254.60347701310027,3.770339418945188e-155,6084.751560550307,6111.386331565067,-3038.3757802751534,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.03333333333333213,0.021619763389189556,1.5417991738984371,0.12317737383650448,-0.0090495364503064,0.07571620311697067
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24561260090865,0.24521941776110412,624.6773353377097,0.0,11099.924343396371,11126.559114411131,-5545.962171698186,Intercept,4.5902777777777555,0.016706628337987167,274.75787962197506,0.0,4.5575265010581125,4.623029054497398
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24561260090865,0.24521941776110412,624.6773353377097,0.0,11099.924343396371,11126.559114411131,-5545.962171698186,C(CV_framing)[T.Communal],-0.4881944444444509,0.02362674037710847,-20.662792947835236,1.4701113072350669e-91,-0.534511744166405,-0.44187714472249684
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24561260090865,0.24521941776110412,624.6773353377097,0.0,11099.924343396371,11126.559114411131,-5545.962171698186,C(Seniority_level)[T.Senior-Level],-0.590972222222217,0.0236267403771083,-25.012854621063337,3.608797382444084e-131,-0.6372895219441708,-0.5446549225002633
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.24561260090865,0.24521941776110412,624.6773353377097,0.0,11099.924343396371,11126.559114411131,-5545.962171698186,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.06250000000000516,0.03341325667597517,1.8705150655052423,0.061463034690676654,-0.0030025534392826153,0.12800255343929295
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19319401060819752,0.19277350713909136,459.4349982862944,1.279020110143236e-267,6472.695287138864,6499.330058153624,-3232.347643569432,Intercept,3.5576388888888717,0.011180110576384631,318.2114223810587,0.0,3.5357216661054567,3.5795561116722867
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19319401060819752,0.19277350713909136,459.4349982862944,1.279020110143236e-267,6472.695287138864,6499.330058153624,-3232.347643569432,C(CV_framing)[T.Communal],-0.3840277777777805,0.01581106400595425,-24.288547414213262,3.823754378168599e-124,-0.4150234114876392,-0.3530321440679218
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19319401060819752,0.19277350713909136,459.4349982862944,1.279020110143236e-267,6472.695287138864,6499.330058153624,-3232.347643569432,C(Seniority_level)[T.Senior-Level],-0.3430555555555574,0.015811064005954136,-21.697183404378695,2.095709127732858e-100,-0.37405118926541586,-0.3120599218456989
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.19319401060819752,0.19277350713909136,459.4349982862944,1.279020110143236e-267,6472.695287138864,6499.330058153624,-3232.347643569432,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.151388888888892,0.02236022115276982,6.770455795341677,1.4113025932443034e-11,0.10755444332206063,0.19522333445572335
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2259413804335989,0.22553794473889788,560.0431082356947,2.2394e-319,12699.718812790916,12726.353583805676,-6345.859406395458,Intercept,5.572916666666612,0.0191955137875442,290.323912573928,0.0,5.535286238125737,5.610547095207487
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2259413804335989,0.22553794473889788,560.0431082356947,2.2394e-319,12699.718812790916,12726.353583805676,-6345.859406395458,C(CV_framing)[T.Communal],-0.5145833333333307,0.027146555935065136,-18.95575020876386,8.896772050578372e-78,-0.5678007957337485,-0.46136587093291287
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2259413804335989,0.22553794473889788,560.0431082356947,2.2394e-319,12699.718812790916,12726.353583805676,-6345.859406395458,C(Seniority_level)[T.Senior-Level],-0.6048611111111115,0.027146555935064938,-22.281320420827985,1.4611450708587062e-105,-0.658078573511529,-0.551643648710694
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2259413804335989,0.22553794473889788,560.0431082356947,2.2394e-319,12699.718812790916,12726.353583805676,-6345.859406395458,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.010416666666674401,0.03839102757508936,0.27133075941508333,0.7861463808888192,-0.06484419041507755,0.08567752374842635
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.14687605562436434,0.14643141145599625,330.3226851336225,6.589978162025798e-198,13811.167696223949,13837.80246723871,-6901.5838481119745,Intercept,5.151388888888855,0.021139779134426825,243.68224739394978,0.0,5.109946968818754,5.192830808958956
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.14687605562436434,0.14643141145599625,330.3226851336225,6.589978162025798e-198,13811.167696223949,13837.80246723871,-6901.5838481119745,C(CV_framing)[T.Communal],-0.6104166666666686,0.029896162357478613,-20.417893753977793,1.6128300771681185e-89,-0.6690243920805882,-0.551808941252749
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.14687605562436434,0.14643141145599625,330.3226851336225,6.589978162025798e-198,13811.167696223949,13837.80246723871,-6901.5838481119745,C(Seniority_level)[T.Senior-Level],-0.5486111111111113,0.029896162357478395,-18.350552975702534,3.8511556447124626e-73,-0.6072188365250304,-0.49000338569719215
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.14687605562436434,0.14643141145599625,330.3226851336225,6.589978162025798e-198,13811.167696223949,13837.80246723871,-6901.5838481119745,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.23472222222222472,0.042279558268854704,5.551671583927904,2.9560398426864076e-08,0.1518383820820205,0.31760606236242894
