Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Provider,Mean,Std_Dev,Sample_Size
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Fit_Score,sealion,4.3667,0.5561,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Performance_Score,sealion,4.0,0.0,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Leadership_Avg,sealion,2.198,0.1644,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Status_Score,sealion,3.2,0.4068,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Warmth_Score,sealion,2.8667,0.3457,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Hireability_Score,anthropic,2.7,0.6513,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Hireability_Score,google,2.6333,0.5561,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Hireability_Score,openai,3.2667,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Hireability_Score,openrouter,4.7,0.535,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Competence_Score,anthropic,2.1,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Competence_Score,google,2.9,0.4026,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Competence_Score,openai,2.8,0.4068,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Competence_Score,openrouter,3.7333,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Fit_Score,anthropic,2.4667,0.6288,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Fit_Score,google,2.2333,0.6261,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Fit_Score,openai,3.2333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Fit_Score,openrouter,5.6,0.8137,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Performance_Score,anthropic,2.7,0.6513,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Performance_Score,google,2.8333,0.6989,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Performance_Score,openai,3.2667,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Performance_Score,openrouter,5.6,0.8137,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,anthropic,1.58,0.4634,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,google,1.3667,0.5561,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,openai,2.2,0.4068,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,openrouter,4.0673,1.1378,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Status_Score,anthropic,2.1,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Status_Score,google,2.3,0.6513,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Status_Score,openai,2.2667,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Status_Score,openrouter,4.6333,0.6687,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Warmth_Score,anthropic,2.9,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Warmth_Score,google,3.0333,0.1826,30
