Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Fit_Score,3.9143941307130164e-08,0.05178647294138904,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Performance_Score,1.7324497589408543e-09,0.003100549931924358,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Leadership_Avg,1.7324497589408543e-09,2.9254591044443175e-10,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Status_Score,1.1276526727470863e-09,0.0006367859951164874,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Warmth_Score,5.981489887632116e-10,0.08524554978280692,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Hireability_Score,1.7324497589408543e-09,0.008125598154471607,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Competence_Score,1.7832852553163657e-10,0.16135060154928377,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Fit_Score,4.8974900133960605e-08,0.008046503963933466,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Performance_Score,4.8974900133960605e-08,0.00044619903056994863,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Leadership_Avg,0.0,9.634812713452952e-06,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Status_Score,4.432146465667962e-09,0.03155288820133501,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Warmth_Score,0.0,0.0005248501703679019,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Hireability_Score,1.1276526727470863e-09,3.319612002078788e-06,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Competence_Score,0.0,0.0008991847082350492,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Fit_Score,7.766376725845942e-12,3.9145774455696046e-10,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Performance_Score,7.766376725845942e-12,1.0786113386889198e-07,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,4.4017198651534915e-11,0.0005095578590225643,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Status_Score,7.766376725845942e-12,4.8523263148685516e-05,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,USA,Warmth_Score,7.766376725845856e-12,2.052923835256564e-05,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Hireability_Score,4.808123142059477e-09,0.2565445522229561,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Competence_Score,1.7832852553163528e-10,0.058759451031292265,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Fit_Score,2.0942965174732514e-08,0.08314362260334156,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Performance_Score,5.981489887632073e-10,0.0033552670634967568,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Leadership_Avg,7.766376725845856e-12,3.919990846257317e-11,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Status_Score,1.7832852553163528e-10,0.0027297408337254286,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,China,Warmth_Score,1.1276526727471026e-09,0.0021985039253376725,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Hireability_Score,1.7832852553163657e-10,2.454668883619621e-08,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Competence_Score,0.0,8.65824846659508e-08,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Fit_Score,1.7832852553163657e-10,2.1215893360527976e-14,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Performance_Score,1.7832852553163657e-10,5.497119287861347e-05,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Leadership_Avg,0.0,1.0773796121649401e-12,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Status_Score,7.766376725845856e-12,0.0001325824156035692,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Communal,USA,Warmth_Score,1.0232811721894976e-07,0.46887158499092085,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Hireability_Score,7.766376725845942e-12,0.008128897289365172,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Competence_Score,1.7832852553163657e-10,0.007889164439800965,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Fit_Score,0.0,0.0020246650832075976,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Performance_Score,7.766376725845942e-12,0.006517180526627032,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Leadership_Avg,0.0,0.0003946113429231956,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Status_Score,0.0,1.7157009649014334e-13,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,China,Warmth_Score,0.0,0.0002512949965184217,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Hireability_Score,1.1276526727471026e-09,0.0007167658211977833,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Competence_Score,4.4017198651534915e-11,0.07609133118169988,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Agentic,USA,Fit_Score,1.1276526727471026e-09,0.19233208878576397,False
